t,phase,source_A,source_B,road_boost,A_in,B_in,P_generated,P_accept,release,quality_weighted_release,overflow,reservoir,capacity,fill_frac,integrity,terrain,terrain_write_effective,quality,poison,backpressure,damage,repair,A_rate,B_rate,D_rate,C_rate,pore_B,release_rate,backpressure_strength
0,clean_finite_reactor,2.0,0.15,1.0,0.159952752941,0.000749889232,0.103875814986,0.103875814986,0.002596895375,0.002593006439,0.0,0.101278919611,80.0,0.0,0.999704705882,0.000155580386,0.000155580386,0.998502467503,0.999100941954,1.0,0.000295294118,0.0,2.0,0.15,0.02,0.02,0.005,0.025,0.75
50,clean_finite_reactor,1.732284234905,0.15,1.147506484823,0.130678352162,0.000744284867,0.130141108191,0.130141108191,0.117021480574,0.111078607083,0.0,4.563837742382,80.0,0.056883976435,0.984985091575,0.177098725556,0.006664716425,0.949215533232,0.968897510604,0.957337017674,0.000295294118,1.766566e-06,2.0,0.15,0.02,0.02,0.005,0.025,0.75
100,clean_finite_reactor,2.304034792729,0.15,1.27389170931,0.167532021463,0.000738552984,0.170413268362,0.170413268362,0.173127647654,0.16067161757,0.0,6.751978258518,80.0,0.084433657973,0.970353535796,0.381187264812,0.009640297054,0.928052912098,0.955552602946,0.936674756521,0.000295294118,3.522563e-06,2.0,0.15,0.02,0.02,0.005,0.025,0.75
150,clean_finite_reactor,3.236276677938,0.15,1.339665541804,0.23027549368,0.000732696267,0.231581296271,0.231581296271,0.19098364731,0.17547226721,0.0,7.448362245077,80.0,0.092597057451,0.955809511747,0.517196668307,0.010528336033,0.918781632261,0.949632678708,0.930552206911,0.000295294118,5.268055e-06,2.0,0.15,0.02,0.02,0.005,0.025,0.75
200,leaky_contamination,3.236898456456,0.5,1.375323997065,0.22749393556,0.02906869449,0.217648006225,0.217648006225,0.18343842429,0.159543612234,0.0,7.154098547308,80.0,0.088998612067,0.941352495778,0.601390031477,0.009572616734,0.869739329979,0.917547469226,0.93325104095,0.000295294118,7.003106e-06,2.0,0.5,0.02,0.02,0.06,0.025,0.75
250,leaky_contamination,2.268804964924,0.5,1.317376238397,0.157508019979,0.028824755014,0.147058969169,0.147058969169,0.17395007511,0.055826790281,0.0,6.784052929274,80.0,0.08513680044,0.926981967371,0.461311390182,0.003349607417,0.320935706673,0.440619217769,0.93614739967,0.000295294118,8.727776e-06,2.0,0.5,0.02,0.02,0.06,0.025,0.75
300,leaky_contamination,1.913815185912,0.5,1.244304445251,0.130518289256,0.028576135001,0.139061944167,0.139061944167,0.179432414959,0.044613650695,0.0,6.997864183415,80.0,0.087977933178,0.912697409125,0.321111772192,0.002676819042,0.24863763164,0.355473351284,0.934016550117,0.000295294118,1.0442129e-05,2.0,0.5,0.02,0.02,0.06,0.025,0.75
350,leaky_contamination,2.497676974416,0.5,1.190761953948,0.168003504015,0.028322935695,0.179491945024,0.179491945024,0.175734537486,0.039671840148,0.0,6.853646961951,80.0,0.08562361943,0.898498306732,0.234574688263,0.002380310409,0.225748681595,0.327030065273,0.935782285427,0.000295294118,1.2146225e-05,2.0,0.5,0.02,0.02,0.06,0.025,0.75
400,storage_pressure,5.783151522002,0.4,1.1566303044,0.240897356867,0.018710171239,0.123104671671,0.123104671671,0.006291740663,0.001372411076,0.0,6.28544892233,18.0,0.342701999518,0.884384148961,0.183016176221,8.2344665e-05,0.218128996316,0.317393217832,0.588757600579,0.000295294118,1.3840128e-05,4.0,0.4,0.02,0.02,0.05,0.001,1.2
450,storage_pressure,4.548925428565,0.4,1.084345050854,0.07621782549,0.018535464532,0.066658939627,0.066658939627,0.011457110571,0.00286464827,0.0,11.44565346088,18.0,0.632802868435,0.87035442764,0.090904610881,0.000171878896,0.250032349067,0.357182467513,0.240636557878,0.000295294118,1.5523896e-05,4.0,0.4,0.02,0.02,0.05,0.001,1.2
500,storage_pressure,3.223473983032,0.4,1.047902387797,0.024332485221,0.018357901583,0.031845606146,0.031845606146,0.01337918935,0.003604052109,0.0,13.36581016016,18.0,0.741519096854,0.856408637638,0.049774031504,0.000216243127,0.269377464879,0.380610511643,0.110177083776,0.000295294118,1.7197592e-05,4.0,0.4,0.02,0.02,0.05,0.001,1.2
550,storage_pressure,3.550199008113,0.4,1.030707329889,0.01676695677,0.018177546019,0.021139251932,0.021139251932,0.013970123913,0.003919028746,0.0,13.956153788653,18.0,0.774943592257,0.842546276843,0.031440082062,0.000235141725,0.280529275977,0.393884672049,0.070067689291,0.000295294118,1.8861275e-05,4.0,0.4,0.02,0.02,0.05,0.001,1.2
600,stress_collapse,3.610988322595,0.3,1.022847222425,0.01359459381,0.010744268153,0.016808755612,0.016808755612,0.014158357665,0.004082555999,0.0,14.14419930706,18.0,0.785641606062,0.822291625263,0.023275655012,0.00024495336,0.288349545631,0.403094498968,0.057230072726,0.00675,0.0,3.0,0.3,0.45,0.0,0.04,0.001,1.2
650,stress_collapse,3.697430996783,0.3,1.020374418408,0.007830459909,0.007316111735,0.013363224719,0.013363224719,0.014194269958,0.005091048251,0.0,14.180075688065,18.0,0.78782815185,0.484791625263,0.020791659366,0.000305462895,0.358669256391,0.482427488319,0.05460621778,0.00675,0.0,3.0,0.3,0.45,0.0,0.04,0.001,1.2
700,stress_collapse,2.771598695802,0.3,1.021603959355,0.002029661767,0.002521080317,0.009702565137,0.009702565137,0.014077486591,0.006484296391,0.0,14.063409104901,18.0,0.78154355702,0.147291625263,0.02213883914,0.000389057783,0.460614638083,0.587334488297,0.062147731576,0.00675,0.0,3.0,0.3,0.45,0.0,0.04,0.001,1.2
750,stress_collapse,2.323240417083,0.3,1.025979990538,0.0,0.0,0.003733157314,0.003733157314,0.013719917384,0.008692908165,0.0,13.706197466646,18.0,0.762010234818,0.0,0.026794433806,0.00052157449,0.63359770485,0.742405308425,0.085587718219,0.00675,0.0,3.0,0.3,0.45,0.0,0.04,0.001,1.2
800,stabilizer_rescue,2.063976414394,0.15,1.031988207197,0.001281432085,1.9853758e-05,0.003293215365,0.003293215365,0.262646736042,0.206539109273,0.0,12.869690066051,80.0,0.164113044834,0.00885,0.044941933579,0.012392346556,0.786376074517,0.859849876931,0.876915216374,0.00315,0.012,2.0,0.15,0.45,2.0,0.01,0.02,0.75
850,stabilizer_rescue,3.078599355389,0.15,1.236190352354,0.078788903608,0.000676658517,0.078043724591,0.078043724591,0.122060498839,0.105337297078,0.0,5.980964443096,80.0,0.075312265217,0.339057002529,0.310908557421,0.006320237825,0.862992516662,0.913029252713,0.943515801087,0.00315,0.007989388633,2.0,0.15,0.45,2.0,0.01,0.02,0.75
900,stabilizer_rescue,2.743171126889,0.15,1.25182261928,0.109086257559,0.000966644197,0.106971335124,0.106971335124,0.094682542451,0.083389756718,0.0,4.639444580112,80.0,0.057839447343,0.519621975937,0.336536102621,0.005003385403,0.880730011674,0.924852888983,0.956620414493,0.00315,0.00579629179,2.0,0.15,0.45,2.0,0.01,0.02,0.75
950,stabilizer_rescue,1.996549071208,0.15,1.260236656691,0.094107996945,0.001104532072,0.092965125803,0.092965125803,0.102487078062,0.090051559376,0.0,5.021866825051,80.0,0.062892359716,0.618359160103,0.351909998993,0.005403093563,0.878662569742,0.923483831754,0.952830730213,0.00315,0.004597054736,2.0,0.15,0.45,2.0,0.01,0.02,0.75
999,stabilizer_rescue,2.143502571697,0.15,1.273768893799,0.108677001304,0.001172764998,0.110588435301,0.110588435301,0.122294925762,0.106727159493,0.0,5.992451362352,80.0,0.07505197316,0.67155969643,0.377721186873,0.00640362957,0.872703089091,0.919524121142,0.94371102013,0.00315,0.003950894375,2.0,0.15,0.45,2.0,0.01,0.02,0.75
