scenario,gamma,shots_per_setting_per_step,confidence_margin_S,arm2_measurement_write_phase1,arm3_measurement_write_phase1,positive_sampled_steps_phase1,max_chsh_hat_phase1,max_chsh_true_phase1,terrain_delta_end_phase1,terrain_delta_end_phase2,terrain_delta_end_phase3,terrain_delta_half_life_steps,arm2_release_phase2,arm3_release_phase2,arm3_dev_pct_release_phase2,arm2_release_phase3,arm3_release_phase3,arm3_dev_pct_release_phase3,mean_road_boost_phase2_arm2,mean_road_boost_phase2_arm3,mean_road_boost_phase3_arm2,mean_road_boost_phase3_arm3,mean_quality_phase3_arm2,mean_quality_phase3_arm3,matched_classical_release_phase2_diff_vs_arm3,matched_classical_release_phase3_diff_vs_arm3,memory_effect_beyond_bell_bound_arm2,post_write_memory_quantum_specific,classification
normal_memory,1.0,32768,0.093683293042,0.0,0.0,0,0.032470703125,0.0,0.0,0.0,0.0,,97.880476805788,97.880476805788,0.0,27.07564030413,27.07564030413,0.0,1.699015750051,1.699015750051,1.375908775604,1.375908775604,0.965326234977,0.965326234977,0.0,0.0,FALSE,FALSE,no sampled CHSH terrain memory beyond Bell-bound Arm2
normal_memory,0.75,32768,0.093683293042,0.0,0.0,0,0.5361328125,0.508051156936,0.0,0.0,0.0,,97.880476805788,97.880476805788,0.0,27.07564030413,27.07564030413,0.0,1.699015750051,1.699015750051,1.375908775604,1.375908775604,0.965326234977,0.965326234977,0.0,0.0,FALSE,FALSE,no sampled CHSH terrain memory beyond Bell-bound Arm2
normal_memory,0.5,32768,0.093683293042,0.0,0.0,0,1.050537109375,1.016102313873,0.0,0.0,0.0,,97.880476805788,97.880476805788,0.0,27.07564030413,27.07564030413,0.0,1.699015750051,1.699015750051,1.375908775604,1.375908775604,0.965326234977,0.965326234977,0.0,0.0,FALSE,FALSE,no sampled CHSH terrain memory beyond Bell-bound Arm2
normal_memory,0.25,32768,0.093683293042,0.0,0.0,0,1.540832519531,1.524153470809,0.0,0.0,0.0,,97.880476805788,97.880476805788,0.0,27.07564030413,27.07564030413,0.0,1.699015750051,1.699015750051,1.375908775604,1.375908775604,0.965326234977,0.965326234977,0.0,0.0,FALSE,FALSE,no sampled CHSH terrain memory beyond Bell-bound Arm2
normal_memory,0.0,32768,0.093683293042,0.0,0.0,0,2.049926757812,2.032204627745,0.0,0.0,0.0,,97.880476805788,97.880476805788,0.0,27.07564030413,27.07564030413,0.0,1.699015750051,1.699015750051,1.375908775604,1.375908775604,0.965326234977,0.965326234977,0.0,0.0,FALSE,FALSE,no sampled CHSH terrain memory beyond Bell-bound Arm2
stress_memory,1.0,32768,0.093683293042,0.0,0.0,0,0.034484863281,0.0,0.0,0.0,0.0,,66.236923296537,66.236923296537,0.0,21.078490290624,21.078490290624,0.0,1.435235104173,1.435235104173,1.102711232908,1.102711232908,0.967389943842,0.967389943842,0.0,0.0,FALSE,FALSE,no sampled CHSH terrain memory beyond Bell-bound Arm2
stress_memory,0.75,32768,0.093683293042,0.0,0.0,0,0.733581542969,0.707106781187,0.0,0.0,0.0,,66.236923296537,66.236923296537,0.0,21.078490290624,21.078490290624,0.0,1.435235104173,1.435235104173,1.102711232908,1.102711232908,0.967389943842,0.967389943842,0.0,0.0,FALSE,FALSE,no sampled CHSH terrain memory beyond Bell-bound Arm2
stress_memory,0.5,32768,0.093683293042,0.0,0.0,0,1.443237304688,1.414213562373,0.0,0.0,0.0,,66.236923296537,66.236923296537,0.0,21.078490290624,21.078490290624,0.0,1.435235104173,1.435235104173,1.102711232908,1.102711232908,0.967389943842,0.967389943842,0.0,0.0,FALSE,FALSE,no sampled CHSH terrain memory beyond Bell-bound Arm2
stress_memory,0.25,32768,0.093683293042,0.0,0.365920065744,273,2.144775390625,2.12132034356,0.089582644259,0.002331453385,0.000117389765,50,66.236923296537,67.189805047009,1.438596032316,21.078490290624,21.097218268231,0.08885507721,1.435235104173,1.467216369613,1.102711232908,1.10420342002,0.967389943842,0.967389943842,0.0,0.0,TRUE,FALSE,sampled CHSH terrain inscription persists and changes later dynamics; post-write memory is classical terrain dynamics
stress_memory,0.0,32768,0.093683293042,0.0,11.462246519585,371,2.84716796875,2.828427124746,2.347411772406,0.038347933954,0.00174858341,47,66.236923296537,79.483352978179,19.998558239698,21.078490290624,21.379448839689,1.427578279502,1.435235104173,1.839035258357,1.102711232908,1.12719231796,0.967389943842,0.967389943842,0.0,0.0,TRUE,FALSE,sampled CHSH terrain inscription persists and changes later dynamics; post-write memory is classical terrain dynamics
storage_memory,1.0,32768,0.093683293042,0.0,0.0,0,0.028503417969,0.0,0.0,0.0,0.0,,29.986584572102,29.986584572102,0.0,11.19468747697,11.19468747697,0.0,1.297734216668,1.297734216668,1.118475207261,1.118475207261,0.965326234977,0.965326234977,0.0,0.0,FALSE,FALSE,no sampled CHSH terrain memory beyond Bell-bound Arm2
storage_memory,0.75,32768,0.093683293042,0.0,0.0,0,0.531127929688,0.508051156936,0.0,0.0,0.0,,29.986584572102,29.986584572102,0.0,11.19468747697,11.19468747697,0.0,1.297734216668,1.297734216668,1.118475207261,1.118475207261,0.965326234977,0.965326234977,0.0,0.0,FALSE,FALSE,no sampled CHSH terrain memory beyond Bell-bound Arm2
storage_memory,0.5,32768,0.093683293042,0.0,0.0,0,1.041137695312,1.016102313873,0.0,0.0,0.0,,29.986584572102,29.986584572102,0.0,11.19468747697,11.19468747697,0.0,1.297734216668,1.297734216668,1.118475207261,1.118475207261,0.965326234977,0.965326234977,0.0,0.0,FALSE,FALSE,no sampled CHSH terrain memory beyond Bell-bound Arm2
storage_memory,0.25,32768,0.093683293042,0.0,0.0,0,1.541076660156,1.524153470809,0.0,0.0,0.0,,29.986584572102,29.986584572102,0.0,11.19468747697,11.19468747697,0.0,1.297734216668,1.297734216668,1.118475207261,1.118475207261,0.965326234977,0.965326234977,0.0,0.0,FALSE,FALSE,no sampled CHSH terrain memory beyond Bell-bound Arm2
storage_memory,0.0,32768,0.093683293042,0.0,0.0,0,2.045837402344,2.032204627745,0.0,0.0,0.0,,29.986584572102,29.986584572102,0.0,11.19468747697,11.19468747697,0.0,1.297734216668,1.297734216668,1.118475207261,1.118475207261,0.965326234977,0.965326234977,0.0,0.0,FALSE,FALSE,no sampled CHSH terrain memory beyond Bell-bound Arm2
